Player,Team,MPG,True Usage,Shot Usage,Assist Usage,Turnover Usage,True TO%,Time of Possession%,Shot/Touch %,% Touches Ending Possession
George Hill,IND,29.5,0.453642172523962,0.238785942492013,0.187300319488818,0.027555910543131,0.0607437143460807,0.210884353741497,0.217607453506569,0.242719365287331
Darrell Arthur,DEN,17,0.286324033284386,0.200665687714146,0.0626529613313754,0.0230053842388644,0.0803473741794311,0.0292397660818713,0.465018148820327,0.518330308529946
Nikola Pekovic,MIN,26.3,0.309289215686274,0.235759803921569,0.0477941176470588,0.0257352941176471,0.0832078611617402,0.0343511450381679,0.599594826242793,0.665045971637837
Joey Dorsey,HOU,12.4,0.167990996060777,0.102149690489589,0.0427687113111987,0.0230725942599887,0.137344231542275,0.032,0.370524596856501,0.454215145948153
Mario Chalmers,MIA,29.6,0.352632260850788,0.168438782120492,0.14683653638523,0.0373569423450659,0.105937392837897,0.141414141414141,0.190439453125,0.23267578125
DeAndre Jordan,LAC,34.4,0.16981703026038,0.130408163265306,0.0202322308233638,0.0191766361717101,0.112925282831213,0.0261627906976744,0.49667649423747,0.569713213615653
Omer Asik,NOP,26.1,0.191057967247206,0.13283077722901,0.0335326228229789,0.0246945671952171,0.129251700680272,0.0344827586206897,0.420230263157895,0.498355263157895
Luc Mbah a Moute,PHI,28.6,0.276611398963731,0.183347150259067,0.0676165803108808,0.0256476683937824,0.0927209380736523,0.0491228070175439,0.313441693609106,0.357287745250011
Goran Dragic,MIA,34.8,0.400975069252078,0.204299168975069,0.16398891966759,0.0326869806094183,0.0815187354924284,0.180515759312321,0.19349354601742,0.224451673837758
Goran Dragic,PHX,33.4,0.363666574356134,0.203877042370535,0.128219329825533,0.0315702021600665,0.0868108437404813,0.116766467065868,0.26315413211324,0.303903345724907
Henry Walker,MIA,26.1,0.218960831334932,0.140623501199041,0.0591526778577138,0.0191846522781775,0.0876168224299066,0.0343511450381679,0.29203187250996,0.331872509960159
Anthony Morrow,OKC,24.4,0.218136779752289,0.176133548734518,0.0317716747442111,0.0102315562735595,0.0469043151969981,0.0245901639344262,0.437623762376238,0.463045223441263
Blake Griffin,LAC,35.2,0.449104258443466,0.279395846444305,0.137822529893014,0.0318858821061464,0.0709988415978476,0.0738636363636364,0.337500950257203,0.37601804221676
James Harden,HOU,36.8,0.536815079623009,0.297783555411115,0.186870328241794,0.0521611959701008,0.0971679037159912,0.16304347826087,0.35572637627145,0.418037114682817
Tyreke Evans,NOP,34,0.500293054234063,0.246058991436727,0.207421503330162,0.0468125594671741,0.0935702766028664,0.187683284457478,0.253368342673512,0.30157150135204
Ricky Rubio,MIN,31.5,0.511485148514851,0.176973125884017,0.289250353606789,0.0452616690240453,0.0884906808251756,0.244444444444444,0.162959103933316,0.204636624120865
Stephen Curry,GSW,32.7,0.518528884104772,0.267183351273771,0.206673842841765,0.0446716899892357,0.0861508227576567,0.155963302752294,0.266323319027182,0.31085121602289
Jordan Hill,LAL,26.8,0.313766508188061,0.224754358161648,0.0610142630744849,0.0279978869519282,0.0892315980874133,0.0522388059701493,0.484302788844621,0.544632896983495
DeMar DeRozan,TOR,35,0.432708083473255,0.283271767810026,0.116574718157832,0.032861597505397,0.0759440342357924,0.0942857142857143,0.384427083333333,0.4290234375
Brandon Jennings,DET,28.6,0.524176842105263,0.255124210526316,0.231157894736842,0.0378947368421053,0.0722938020113742,0.244755244755245,0.218294484274237,0.250718737615737
